案件編號,發生日期,GPS經度,GPS緯度,案件類別名稱,地址類型名稱,發生縣市名稱,受傷人數,天候名稱, 速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要
11001AC191B2759,20210119,120.229926,22.959967,交通事故,交叉路口,臺南市東區長東街段號崇德三十三街,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B2786,20210103,120.23336,22.976385,交通事故,交叉路口,臺南市東區文化二街段號文化三街,2,晴,40,交岔路,交叉路口,閃光號誌,車與車,未依規定讓車
11001AC191B2793,20210115,120.217986,22.979184,交通事故,交叉路口,臺南市東區崇明路段號崇明七街,2,晴,50,交岔路,交叉路口,無號誌,車與車,逆向行駛
11001AC191B2795,20210127,120.218253,22.980278,交通事故,一般地址,臺南市東區崇德路段88號,1,晴,50,交岔路,交叉路口,無號誌,汽(機)車本身,未注意車前狀態
11001AC191B2800,20210126,120.22359,22.991373,交通事故,交叉路口,臺南市東區東寧路段號林森路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B2807,20210116,120.213206,22.979055,交通事故,一般地址,臺南市東區大同路2段34759號0,2,晴,50,交岔路,交叉路口,閃光號誌,車與車,未依規定讓車
11001AC191B2829,20210117,120.231495,22.979607,交通事故,交叉路口,臺南市東區東門路3段號東成街,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,右轉彎未依規定
11001AC191B2837,20210128,120.214183,22.996807,交通事故,一般地址,臺南市東區大學路西段段89號,1,晴,50,單路部分,路段,無號誌,車與車,起步未注意其他車(人)安全
11001AC191B2844,20210126,120.235861,22.985431,交通事故,一般地址,臺南市東區富農街2段44210號,1,晴,40,單路部分,路段,無號誌,汽(機)車本身,不明原因肇事
11001AC191B2849,20210115,120.212279,22.997708,交通事故,一般地址,臺南市東區北門路2段號,1,晴,50,圓環廣場,路段,無號誌,車與車,左轉彎未依規定
11001AC191B2861,20210128,120.211173,22.984856,交通事故,交叉路口,臺南市東區大同路1段號府連路,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
